EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,4,4,1,2,2,4,5,10,kirik; russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
4,4,4,4,1,2,2,3,5,10,kirik; russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
3,4,4,4,1,2,2,3,5,10,kirik; russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
4,4,3,4,1,2,2,3,5,10,kirik; russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
4,6,4,5,1,2,3,4,5,10,kirik; russow; talupoeg; aadlik; pulmad; pidu; liivimaa; sõda
4,2,2,3,0,4,3,4,4,10,russow; talupoeg; aadlik; pulmad; pidu; liivimaa; sõda
3,4,4,2,0,2,4,2,3,10,russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
4,3,3,3,1,0,3,3,4,10,russow; talupoeg; aadlik; pulmad; pidu; liivimaa; sõda
3,3,2,5,3,1,2,2,3,10,kirik; russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
2,3,0,3,3,1,2,2,4,10,russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
2,3,2,2,3,2,2,3,4,10,russow; aadlik; talupoeg; pulmad; pidu; liivimaa; sõda
