EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,7,7,7,5,8,8,7,8,16,üleeuroopaline; komisjon; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
10,7,8,8,5,8,8,7,8,16,üleeuroopaline; komisjon; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
10,7,10,7,5,9,7,6,8,16,üleeuroopaline; komisjon; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
10,7,9,7,5,10,6,6,8,16,üleeuroopaline; komisjon; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
9,8,10,8,6,7,6,6,8,16,üleeuroopaline; komisjon; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
9,7,11,9,6,8,4,6,8,16,üleeuroopaline; komisjon; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
7,8,9,9,6,9,5,5,8,16,üleeuroopaline; eurole; komisjon; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
5,8,9,9,7,8,4,7,8,16,eurole; komisjon; üleeuroopaline; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
7,8,9,8,6,7,4,5,8,16,komisjon; eurole; üleeuroopaline; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
5,8,8,8,5,7,5,6,9,16,eurole; komisjon; üleeuroopaline; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
5,6,8,7,6,6,6,9,9,16,eurole; komisjon; üleeuroopaline; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
