EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,4,6,5,5,4,3,6,11,ema; katariina; ronima; redel; kooli; poiss
5,3,4,6,5,4,4,4,6,11,ema; katariina; ronima; redel; kooli; poiss
5,3,3,6,4,5,5,5,6,11,ema; katariina; ronima; redel; kooli; poiss
5,3,3,6,5,4,5,5,6,11,ema; katariina; ronima; redel; kooli; poiss
5,3,3,6,5,5,4,5,6,11,ema; katariina; ronima; redel; kooli; poiss
4,3,4,6,5,5,4,4,6,11,ema; katariina; ronima; redel; kooli; poiss
5,3,4,5,5,5,4,3,6,11,ema; katariina; ronima; redel; kooli; poiss
4,3,3,3,4,5,4,4,6,11,ema; katariina; ronima; redel; kooli; poiss
4,3,3,3,4,5,4,4,6,11,ema; katariina; ronima; redel; kooli; poiss
2,3,4,3,4,5,4,4,5,11,ema; katariina; ronima; kooli; poiss
3,3,5,3,4,5,4,4,5,11,ema; katariina; ronima; redel; kooli; poiss
