EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,3,3,2,2,2,5,3,15,mandingo; paavo; popmuusika; sekk; mansour; maal; rahvamuusika; lääne-aafrika
7,8,3,3,2,3,2,6,3,15,mandingo; paavo; popmuusika; sekk; mansour; maal; rahvamuusika; lääne-aafrika
7,8,3,4,3,3,4,6,3,15,mandingo; paavo; popmuusika; sekk; mansour; maal; rahvamuusika; lääne-aafrika
6,8,3,4,3,3,4,6,3,15,mandingo; paavo; popmuusika; sekk; mansour; maal; rahvamuusika; lääne-aafrika
6,6,4,4,4,4,4,7,3,15,mandingo; paavo; popmuusika; sekk; mansour; maal; rahvamuusika; lääne-aafrika
6,5,6,3,5,6,5,7,2,15,mandingo; paavo; popmuusika; sekk; mansour; maal; rahvamuusika; lääne-aafrika
4,6,7,3,5,7,5,8,3,15,mandingo; paavo; popmuusika; sekk; mansour; maal; rahvamuusika; lääne-aafrika
2,5,7,4,5,4,4,6,4,15,mandingo; paavo; popmuusika; sekk; mansour; maal; rahvamuusika; lääne-aafrika
2,5,6,4,5,5,5,6,5,15,mandingo; paavo; popmuusika; sekk; mansour; maal; rahvamuusika; lääne-aafrika
2,4,6,4,6,4,5,7,5,15,mandingo; paavo; popmuusika; sekk; mansour; maal; rahvamuusika; lääne-aafrika
2,4,6,4,6,5,6,7,7,15,mandingo; paavo; popmuusika; sekk; mansour; maal; rahvamuusika; lääne-aafrika
