EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,2,6,2,3,6,5,5,3,12,ani; muusika; näitleja; salulaht; karu; elmar; nikerdamine; endel; vanemuine
8,2,6,4,3,6,5,5,3,12,ani; muusika; näitleja; salulaht; karu; elmar; nikerdamine; endel; vanemuine
7,2,5,4,3,6,5,5,3,12,ani; muusika; näitleja; salulaht; karu; elmar; nikerdamine; endel; vanemuine
6,3,5,3,3,7,6,5,4,12,ani; muusika; näitleja; salulaht; karu; elmar; nikerdamine; endel; vanemuine
6,4,4,3,3,6,6,6,3,12,ani; muusika; näitleja; salulaht; karu; elmar; nikerdamine; endel; vanemuine
3,5,4,3,4,5,7,7,4,12,ani; muusika; näitleja; salulaht; karu; elmar; endel; vanemuine
2,6,4,5,5,6,6,6,4,12,ani; muusika; näitleja; salulaht; karu; elmar; endel; vanemuine
2,3,4,6,5,5,5,3,4,12,ani; muusika; näitleja; salulaht; karu; elmar; endel; vanemuine
2,4,6,6,5,5,6,5,4,12,ani; muusika; näitleja; salulaht; karu; elmar; nikerdamine; endel; vanemuine
2,7,6,6,5,5,4,4,5,12,ani; muusika; näitleja; salulaht; karu; elmar; nikerdamine; endel; vanemuine
2,6,4,7,6,5,4,5,5,12,ani; muusika; näitleja; salulaht; karu; elmar; endel; vanemuine
