EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,10,7,9,9,10,10,9,10,13,admiral; ükssilm; mereröövel; heino; kadri-ann; väli; hobune; jack; silver; lampjalg
9,10,7,9,9,10,10,9,10,13,admiral; ükssilm; mereröövel; heino; kadri-ann; väli; hobune; jack; silver; lampjalg
9,10,8,9,9,10,10,10,10,13,admiral; ükssilm; mereröövel; heino; kadri-ann; väli; hobune; jack; silver; lampjalg
10,10,8,9,9,10,10,10,10,13,admiral; ükssilm; mereröövel; heino; kadri-ann; väli; hobune; jack; silver; lampjalg
10,10,9,9,10,10,10,10,10,13,admiral; ükssilm; mereröövel; heino; kadri-ann; väli; hobune; jack; silver; lampjalg
10,10,10,10,10,9,10,10,10,13,admiral; ükssilm; mereröövel; heino; kadri-ann; väli; hobune; jack; silver; lampjalg
10,9,10,10,10,9,10,10,9,13,admiral; ükssilm; mereröövel; heino; kadri-ann; hobune; väli; jack; silver; lampjalg
10,9,10,10,10,9,10,10,10,13,admiral; ükssilm; mereröövel; heino; kadri-ann; hobune; väli; jack; silver; lampjalg
10,9,10,10,10,9,10,10,10,13,admiral; ükssilm; mereröövel; heino; kadri-ann; hobune; väli; jack; silver; lampjalg
10,9,10,10,10,9,10,10,10,13,admiral; ükssilm; mereröövel; heino; kadri-ann; hobune; väli; jack; silver; lampjalg
9,9,10,10,10,10,10,10,10,13,admiral; ükssilm; mereröövel; heino; kadri-ann; hobune; väli; jack; silver; lampjalg
