EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,9,8,8,6,9,7,8,6,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
8,9,8,8,6,9,7,8,6,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
8,9,9,8,6,9,9,8,6,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
8,9,9,9,6,9,10,8,6,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
8,9,9,9,6,8,8,9,6,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
8,9,9,10,6,9,9,9,7,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
9,9,9,10,7,10,10,9,5,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
9,8,9,10,8,9,10,9,5,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
9,8,10,9,8,10,10,9,6,11,jooksma; aeg; seljakott; madis; korrus; sportlane; raadiomaja; aesma; tuletõrje; plaat
7,8,9,9,8,10,10,10,6,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
7,9,10,9,9,10,9,9,8,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
