EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,4,5,4,4,5,4,3,12,looming; noorusarmastus; vene; screabin; helilooja; sonaat; protest; saatus
4,5,4,5,5,4,5,4,3,12,looming; noorusarmastus; vene; screabin; helilooja; sonaat; protest; saatus
4,5,4,5,5,4,5,5,3,12,looming; noorusarmastus; vene; screabin; helilooja; sonaat; protest; saatus
4,5,4,5,5,5,6,5,3,12,looming; noorusarmastus; vene; screabin; helilooja; sonaat; protest; saatus
5,5,4,5,5,5,6,5,3,12,looming; noorusarmastus; vene; screabin; helilooja; sonaat; protest; saatus
5,4,5,5,6,7,5,5,3,12,looming; noorusarmastus; vene; screabin; helilooja; sonaat; protest; saatus
6,2,4,5,6,6,5,4,4,12,looming; noorusarmastus; vene; screabin; helilooja; sonaat; protest; saatus
4,2,5,6,6,6,5,5,4,12,looming; noorusarmastus; vene; screabin; helilooja; sonaat; protest; saatus
4,3,5,5,6,5,5,5,4,12,looming; noorusarmastus; vene; screabin; helilooja; sonaat; protest; saatus
3,2,6,4,5,4,3,3,5,12,looming; noorusarmastus; vene; screabin; helilooja; sonaat; protest; saatus
4,2,2,4,7,4,5,1,3,12,looming; noorusarmastus; vene; screabin; helilooja; sonaat; protest; saatus
