EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,3,5,5,6,6,7,7,13,lugema; heinsoo; hiiu; käär; merike; lili; lasteraamat
6,5,5,5,6,7,6,7,7,13,lugema; heinsoo; hiiu; käär; merike; lili; lasteraamat
6,3,5,5,6,7,6,7,7,13,lugema; heinsoo; hiiu; käär; merike; lili; lasteraamat
6,3,7,5,6,7,7,7,7,13,lugema; heinsoo; hiiu; käär; merike; lili; lasteraamat
6,3,7,5,6,7,7,7,7,13,lugema; heinsoo; hiiu; käär; merike; lili; lasteraamat
6,3,7,4,6,7,7,7,7,13,lugema; heinsoo; hiiu; käär; merike; lili; lasteraamat
6,4,7,4,6,7,6,7,7,13,lugema; heinsoo; hiiu; käär; merike; lili; lasteraamat
7,4,7,6,6,7,7,7,7,13,lugema; heinsoo; hiiu; käär; merike; lili; lasteraamat
5,2,7,7,6,7,5,7,7,13,lugema; heinsoo; hiiu; käär; merike; lili; lasteraamat
4,3,7,6,6,7,6,7,7,13,lugema; hiiu; käär; heinsoo; merike; lili; lasteraamat
4,5,7,6,6,7,5,6,7,13,lugema; hiiu; heinsoo; käär; merike; lili; lasteraamat
