EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,5,4,5,1,3,4,5,3,13,viisavaba; sõidusoodustus; erakondade; avo; tagatisraha
2,5,4,5,1,3,4,5,4,13,viisavaba; sõidusoodustus; erakondade; avo; tagatisraha
2,5,4,5,1,4,4,4,4,13,viisavaba; sõidusoodustus; erakondade; avo; tagatisraha
2,5,4,5,1,4,4,4,4,13,viisavaba; sõidusoodustus; erakondade; avo; tagatisraha
2,5,5,5,1,4,4,4,4,13,viisavaba; sõidusoodustus; erakondade; avo; tagatisraha
2,5,5,5,1,3,4,4,4,13,viisavaba; sõidusoodustus; erakondade; avo; tagatisraha
2,5,5,2,2,4,3,3,4,13,viisavaba; sõidusoodustus; erakondade; avo; tagatisraha
4,4,5,3,3,4,3,3,4,13,viisavaba; sõidusoodustus; erakondade; avo; tagatisraha
3,4,4,3,3,4,4,2,3,13,viisavaba; sõidusoodustus; erakondade; avo; tagatisraha
2,4,5,3,2,4,3,4,5,13,viisavaba; sõidusoodustus; erakondade; avo; tagatisraha
2,4,4,3,3,4,3,4,4,13,viisavaba; sõidusoodustus; erakondade; avo; tagatisraha
