EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,4,5,6,6,6,5,6,13,ema; johan; torm; kon-tiki; isa; ütlemata
6,6,5,5,6,6,6,5,6,13,ema; johan; torm; kon-tiki; isa; ütlemata
6,6,5,5,6,5,6,6,6,13,ema; johan; torm; kon-tiki; isa; ütlemata
6,6,6,5,6,6,6,6,6,13,ema; johan; torm; kon-tiki; isa; ütlemata
6,6,6,5,6,6,6,6,6,13,ema; johan; torm; kon-tiki; isa; ütlemata
6,6,6,5,6,6,6,6,6,13,ema; johan; torm; kon-tiki; isa; ütlemata
6,6,6,6,6,6,6,6,6,13,ema; johan; torm; kon-tiki; isa; ütlemata
6,6,6,6,6,6,6,6,6,13,ema; johan; torm; kon-tiki; isa; ütlemata
6,6,6,5,6,6,5,6,6,13,ema; johan; torm; kon-tiki; isa; ütlemata
5,6,6,5,6,6,6,6,6,13,ema; johan; torm; kon-tiki; isa; ütlemata
4,6,6,6,6,6,6,5,6,13,ema; johan; torm; kon-tiki; isa; ütlemata
