EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,0,0,1,0,1,0,0,0,10,ivanov; hügieenipropaganda
1,0,0,1,0,1,0,0,0,10,ivanov; hügieenipropaganda
1,0,0,1,0,1,0,0,0,10,ivanov; hügieenipropaganda
1,0,0,1,0,1,0,0,0,10,ivanov; hügieenipropaganda
1,0,0,1,0,1,0,0,0,10,ivanov; hügieenipropaganda
1,0,0,1,0,1,0,0,0,10,ivanov; hügieenipropaganda
1,0,0,0,0,1,0,0,0,10,ivanov; hügieenipropaganda
1,0,1,0,0,1,0,0,0,10,ivanov; hügieenipropaganda
1,0,1,0,0,2,0,0,0,10,ivanov; hügieenipropaganda
0,0,1,0,0,1,0,0,0,10,ivanov
0,0,2,0,0,1,1,0,0,10,hambahari; ivanov; hügieenipropaganda
