EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,5,2,1,4,4,3,3,12,aivar; kriska; narva; savinõu; kivi; keraamika
2,2,5,2,1,4,4,3,3,12,aivar; kriska; narva; savinõu; kivi; keraamika
2,2,5,2,1,4,4,3,3,12,aivar; kriska; narva; savinõu; kivi; keraamika
2,2,5,2,1,4,4,3,3,12,aivar; kriska; narva; savinõu; kivi; keraamika
2,2,5,2,1,4,4,3,3,12,aivar; kriska; narva; savinõu; kivi; keraamika
2,2,5,2,1,4,4,3,3,12,aivar; kriska; narva; savinõu; kivi; keraamika
2,2,5,2,1,4,4,3,3,12,aivar; kriska; narva; savinõu; kivi; keraamika
2,2,5,2,1,4,4,3,3,12,aivar; kriska; narva; savinõu; kivi; keraamika
2,2,5,2,1,4,4,3,3,12,aivar; kriska; narva; savinõu; kivi; keraamika
2,2,5,2,1,4,4,3,3,12,aivar; kriska; narva; savinõu; kivi; keraamika
2,2,5,2,1,4,4,3,3,12,aivar; kriska; narva; savinõu; kivi; keraamika
