EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,2,3,2,4,4,5,3,12,pidustus; budism; tantsija; trumm; panteon; birma
3,5,3,3,2,4,4,5,3,12,pidustus; budism; tantsija; trumm; panteon; birma
3,5,4,3,2,4,4,5,3,12,pidustus; budism; tantsija; trumm; panteon; birma
3,5,4,3,2,4,4,4,3,12,pidustus; budism; tantsija; trumm; panteon; birma
3,4,4,3,2,4,3,4,3,12,pidustus; budism; tantsija; trumm; panteon; birma
4,4,4,4,2,4,3,4,3,12,pidustus; budism; tantsija; trumm; panteon; birma
4,5,4,3,3,3,3,5,3,12,pidustus; budism; tantsija; trumm; panteon; birma
4,4,3,3,3,3,4,4,3,12,pidustus; budism; tantsija; trumm; panteon; birma
5,6,2,3,3,2,3,3,3,12,pidustus; budism; tantsija; trumm; panteon; birma
4,4,3,3,3,3,3,3,2,12,pidustus; budism; tantsija; trumm; panteon; birma
4,3,3,3,3,3,3,3,3,12,budism; tantsija; trumm; birma; panteon
