EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,4,6,3,9,6,5,5,11,käsikiri; kriitika; kaas; abitu; kirjanik; rahutu; kapp; vaenlane; tähtsus
8,5,5,6,3,9,6,5,5,11,käsikiri; kriitika; kaas; abitu; kirjanik; rahutu; kapp; vaenlane; tähtsus
8,5,5,6,3,8,6,4,5,11,käsikiri; kriitika; kaas; abitu; kirjanik; rahutu; kapp; vaenlane; tähtsus
8,5,7,6,3,7,7,3,6,11,käsikiri; kriitika; kaas; abitu; kirjanik; rahutu; kapp; vaenlane; tähtsus
8,5,7,6,3,7,7,3,6,11,käsikiri; kriitika; kaas; abitu; kirjanik; rahutu; kapp; vaenlane; tähtsus
8,5,7,6,3,7,7,5,6,11,käsikiri; kriitika; kaas; abitu; kirjanik; rahutu; kapp; vaenlane; tähtsus
9,5,6,4,4,7,9,5,8,11,käsikiri; kriitika; kaas; abitu; kirjanik; rahutu; kapp; vaenlane; tähtsus
7,6,7,6,4,4,8,4,6,11,käsikiri; kriitika; kaas; abitu; kirjanik; rahutu; kapp; vaenlane; tähtsus
5,6,8,4,4,7,9,5,6,11,käsikiri; abitu; kaas; kriitika; kirjanik; rahutu; kapp; vaenlane; tähtsus
4,6,7,4,5,7,7,4,7,11,käsikiri; abitu; kaas; kriitika; kirjanik; rahutu; kapp; vaenlane; tähtsus
4,7,7,4,8,7,8,6,5,11,käsikiri; abitu; kaas; kriitika; kirjanik; rahutu; kapp; vaenlane; tähtsus
