EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,0,1,1,1,0,0,0,0,11,agent; raadio
0,0,1,1,1,0,0,0,0,11,agent; raadio
0,0,1,1,1,0,0,0,0,11,agent; raadio
0,0,1,1,1,0,0,0,0,11,agent; raadio
0,0,1,1,1,0,0,0,0,11,agent; raadio
0,0,1,1,1,0,0,0,0,11,agent; raadio
0,0,2,1,1,0,0,0,0,11,agent; ansambel; raadio
0,0,1,0,1,0,0,0,0,11,agent; raadio
0,0,2,0,1,0,0,0,0,11,agent; ansambel; raadio
0,0,2,0,1,0,0,0,0,11,agent; ansambel; raadio
0,0,2,0,1,0,0,0,0,11,agent; ansambel; raadio
