EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,6,7,4,3,4,7,7,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
6,7,6,7,4,3,4,7,7,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
7,7,6,7,4,2,4,7,7,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
6,7,6,7,4,1,4,7,7,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
6,7,6,7,4,2,6,7,7,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
6,7,7,7,4,3,6,7,6,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
4,7,6,7,4,4,6,7,7,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
7,7,6,6,5,4,6,6,7,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
6,7,6,6,6,5,7,6,7,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
5,7,5,6,5,4,5,5,7,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
5,7,7,6,7,4,7,7,7,14,valitsus; konverents; kommunistlik; päts; sõda; tööline; partei
