EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,8,7,6,4,4,6,8,8,13,kunst; eesti; elken; meedia; jaan; tsensuur; marco; näitus; formaat
7,7,7,6,4,4,6,8,8,13,kunst; eesti; elken; meedia; jaan; tsensuur; marco; näitus; formaat
8,6,8,6,4,4,6,8,8,13,kunst; eesti; elken; meedia; jaan; tsensuur; marco; näitus; formaat
8,6,9,8,4,4,8,8,8,13,kunst; eesti; elken; meedia; jaan; tsensuur; marco; näitus; formaat
8,6,8,8,4,8,8,9,8,13,kunst; eesti; elken; meedia; jaan; tsensuur; marco; näitus; formaat
8,8,9,9,7,9,9,8,8,13,kunst; eesti; elken; meedia; jaan; tsensuur; marco; näitus; formaat
7,8,9,8,7,7,8,8,8,13,kunst; eesti; elken; meedia; jaan; tsensuur; marco; näitus; formaat
7,7,9,7,6,8,8,7,9,13,kunst; eesti; meedia; elken; jaan; tsensuur; marco; näitus; formaat
5,8,8,8,7,8,7,9,8,13,kunst; eesti; elken; meedia; jaan; tsensuur; marco; näitus; formaat
5,7,7,8,6,7,8,9,8,13,kunst; marco; eesti; elken; meedia; jaan; tsensuur; formaat; näitus
6,8,8,7,7,7,8,7,9,13,kunst; eesti; elken; meedia; jaan; tsensuur; marco; näitus; formaat
