EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,4,0,1,2,3,4,2,13,üksinda; kanada; aasta; trump; jäähoki; kodus; popiidol
3,2,4,0,1,2,3,4,2,13,üksinda; kanada; aasta; trump; jäähoki; kodus; popiidol
3,2,4,0,1,2,3,4,2,13,üksinda; kanada; aasta; trump; jäähoki; kodus; popiidol
3,2,4,0,1,2,3,4,2,13,üksinda; kanada; aasta; trump; jäähoki; kodus; popiidol
3,2,3,0,1,2,3,4,1,13,üksinda; kanada; aasta; trump; jäähoki; kodus; popiidol
3,2,3,0,1,3,3,2,1,13,üksinda; kanada; aasta; trump; jäähoki; kodus; popiidol
3,2,4,0,1,3,3,2,1,13,üksinda; kanada; aasta; trump; jäähoki; kodus; popiidol
3,2,4,0,1,2,2,3,1,13,üksinda; kanada; aasta; trump; jäähoki; kodus; popiidol
3,2,4,0,1,3,2,3,1,13,üksinda; kanada; aasta; trump; jäähoki; kodus; popiidol
3,2,3,1,1,2,2,3,1,13,üksinda; kanada; aasta; trump; jäähoki; kodus; popiidol
3,2,3,1,1,2,2,3,0,13,üksinda; kanada; aasta; trump; jäähoki; kodus; popiidol
