keyphrase;score
Leo;0.4661
kükitasime;0.434
ootamatult;0.4292
pimedamasse;0.4141
Rinnutasime;0.4103
Leole;0.4099
mõistsin;0.4072
pabistasin;0.4036
õudusjuttu;0.4014
Olin;0.4001
alateadvuses;0.3993
mõtlesin;0.3894
lausa;0.3891
pimeda;0.3871
nägin;0.3841
tähendas;0.3803
juhtunudki;0.3797
muinasjutulist;0.3775
ebaloomulikult;0.3765
kartsin;0.3764
koolivend;0.3757
kooliga;0.3757
tekitasid;0.3747
meenus;0.3733
ütles;0.3723
üldsegi;0.3721
täpsustasin;0.3717
ütlesin;0.369
tajusin;0.3679
sünnibki;0.3673
unustada;0.3664
osalesin;0.3646
nägi;0.3637
peitunud;0.3607
arusaamatu;0.3595
elustasin;0.3594
üldse;0.3594
ütlesime;0.3572
klimpsutanud;0.3563
seletasin;0.3528
Olime;0.3525
täiustasin;0.3513
tundmatu;0.3511
rääkisin;0.351
hukkamõistvalt;0.3503
kuuseokkaid;0.3496
Leho;0.349
Tundmatud;0.3479
kasvatasin;0.3448
vaatasime;0.3446
ärevusest;0.3439
vaatasin;0.3423
kirgastanud;0.3417
õudus;0.3416
hajameelselt;0.3407
tõi;0.3404
altkulmu;0.3401
lennanud;0.3397
küsisin;0.3395
korvamatu;0.3371
ütlesid;0.3359
lolliks;0.3352
süütas;0.3349
lõpetasin;0.3341
vanuse;0.3339
võttis;0.3339
Mäletan;0.3328
hirmsasti;0.3326
Samas;0.3296
suitsutunnil;0.3295
tõmmata;0.3295
varjates;0.3291
vaiguhõngu;0.3291
vajasin;0.329
mängisin;0.3278
rääkisime;0.3276
tormasid;0.327
lakkas;0.3269
tundis;0.3266
kooli;0.3265
mossis;0.3251
ebamääraselt;0.3251
kahtlustavalt;0.3242
panime;0.3238
mõtlikult;0.3237
Kuigi;0.3236
küünarnuki;0.3235
järsakusse;0.3229
kadus;0.3222
heatahtliku;0.3218
tühjaks;0.3208
vaaginud;0.3203
pääses;0.32
ärevaks;0.3197
nurja;0.3193
Igatahes;0.3193
pühkis;0.3192
lakke;0.3189
Sain;0.3188
imelik;0.3185
jäi;0.318
Imelik;0.3172
mahuka;0.3168
hämar;0.3164
osutanud;0.3146
mõtelnud;0.3144
Väike-Arvi;0.3142
lastejutte;0.3139
räägib;0.3138
kõplama;0.3137
maha;0.3134
pahvatas;0.3128
Lisasin;0.3124
tähistas;0.3123
Õhukese;0.3121
pobises;0.312
loiult;0.3116
süngeks;0.3116
magus;0.3113
mäletame;0.3112
viirastusi;0.3109
uskunud;0.3106
juhtu;0.3102
tunginud;0.3102
tükk;0.3102
tekkisid;0.3099
kuigivõrd;0.3091
täitsa;0.3084
ületas;0.3082
ütlen;0.3081
hingematvast;0.3077
võtaks;0.3075
keebiks;0.3072
kukkus;0.3071
kahelda;0.3069
räägiti;0.3061
lademe;0.3061
kähedaja;0.3061
Kuulsin;0.306
suundunute;0.3054
vaevas;0.3054
polegi;0.3052
käinud;0.305
umbusklik;0.305
liidriks;0.3048
pula;0.3046
istusin;0.3045
vaikselt;0.3044
hõreda;0.3044
poisipõlv;0.3043
kohutava;0.3042
tühi;0.3041
Teadsin;0.3035
Minuvanune;0.3029
murelikult;0.3024
vältides;0.3022
era;0.3021
jõudnud;0.3021
nõgeste;0.3019
jäta;0.3018
lennu;0.3017
teadsin;0.3015
lustakalt;0.3014
Keebi;0.3013
ilmakaari;0.3011
äkki;0.3007
mällu;0.3006
karjatuse;0.3003
tihedate;0.2994
küngaste;0.2991
imelikud;0.2988
Joostes;0.2986
meeleolu;0.2984
kambas;0.2984
imelikke;0.2983
õhtul;0.298
Steisin;0.2969
taevasse;0.2968
jälginud;0.2964
hoiti;0.296
aimamatut;0.2957
hirmutav;0.2956
tegelikult;0.295
virila;0.2945
väikest;0.2942
igavene;0.294
vaiksele;0.2935
veidi;0.2934
Marta;0.2927
vait;0.2924
hetkel;0.2918
raamatus;0.291
masseerinud;0.2906
Viktor;0.2895
Hoidis;0.2885
erakordset;0.2872
põldmarjade;0.2855
Kawellaksed;0.2855
lapsepõlvest;0.2833
spioon;0.2801
