keyphrase;score
tants number;0.8496
idee ongi;0.8116
näiteks meelde;0.8056
olemise saamiste;0.8034
võimalus kasutada;0.8017
number kaks;0.8015
rootsis vast;0.8014
funktsioon teatud;0.7973
koju kustika;0.7967
kannab nimetust;0.7967
realiseerisin kannab;0.7964
number kolm;0.796
otsal võimalus;0.7959
aega sattus;0.7956
tähendab programmiline;0.7955
kapp kontrollimata;0.7944
eksemgi vahest;0.7936
fungaks segamini;0.7922
no kodu;0.7917
intrigeeriv teema;0.7916
ütleme pala;0.7915
võtta fundamentaalne;0.791
otsekohe realiseerisin;0.7907
huvitav näiteks;0.7906
probleeme lahendada;0.7903
huvitav intrigeeriv;0.7899
vaadata ütleme;0.7892
tuletama meelde;0.7892
teema improviseerin;0.7886
improviseerin teema;0.7885
sattus näppu;0.7884
kiputakse vaatame;0.7884
vast üldsõnalisem;0.7883
harri ilusal;0.788
asetavad varju;0.788
paik eksemgi;0.7879
nsv riiklik;0.7876
tegemist jaan;0.7876
koju no;0.7875
kindel viies;0.7871
teksti puudus;0.7869
tegelase vastandamine;0.7868
nii-öelda puhtalt;0.7863
paras aeg;0.7862
arvavad janune;0.7862
lihtsalt teksti;0.7857
anekdoodid kindel;0.7855
suurema teema;0.7855
kasutada meenus;0.7851
professor eugen;0.785
küttis unustasin;0.7847
elus palusime;0.7846
stiiliga sõna;0.7846
teema improviseerimisel;0.7845
antud teema;0.7844
vaatame üldse;0.7842
ongi realiseerumas;0.7842
varju loomingu;0.7841
leian faktiga;0.7841
omamoodi peegelduks;0.784
materjali elatas;0.784
tegutsesime mtü;0.784
näha eksis;0.784
omaski võimalust;0.7839
asi laheneb;0.7838
aldid eanalija;0.7835
puhtal kujul;0.7835
osas arvatavasti;0.7835
kolme suurema;0.7834
talupoja fungaks;0.7831
jaa alaline;0.7831
jaan puhtal;0.7831
felix väiksem;0.7831
eksis kuulemise;0.783
unustasin aegusele;0.7828
tantsu tantsud;0.7827
saamiste koidikul;0.7825
ansambel natukene;0.7824
tabavad arvan;0.7823
lõpetatud kujul;0.782
endad kirjutaksid;0.7818
teema otsekohe;0.7817
eksamist jäi;0.7817
koju tulemisest;0.7817
fundamentaalne elutöö;0.7816
oboe halamine;0.7815
juttu tähendab;0.7814
ämm koju;0.7814
paluda endad;0.7813
väikest korrigeerimist;0.7811
tsüklist idee;0.7809
mõtetele ärgitab;0.7809
saator tinglik;0.7808
lähema väljenduse;0.7808
nii-öelda tervikuna;0.7807
mängida võimalik;0.7807
valmimas selgus;0.7806
näppu parajasti;0.7806
materjali vaimukat;0.7805
huumori iseasi;0.7805
tantsu esitab;0.7803
kujuneski eesti;0.7802
õpetusena kasutada;0.7802
matti reimann;0.7801
harri otsal;0.7801
torgib aeg;0.78
kujundeid vaadata;0.78
vaimukat materjali;0.7799
repertuaari arvatud;0.7799
valesti segavalt;0.7798
stuudiosse meenutada;0.7798
improviseerimisel näha;0.7797
peegelduks loomingu;0.7796
fuuga fuga;0.7796
suurema töö;0.7795
aega erso;0.7795
kujul loominguline;0.7794
kenasti üldse;0.7794
rahulolematus olemise;0.7794
loomingut nii-öelda;0.7794
üldsõnalisem leiaks;0.7794
mulje arvates;0.7793
fuga üldse;0.7793
leida loomingust;0.7793
võimalust sügavate;0.7791
üldse nali;0.7791
arvatavasti jääb;0.7789
öelda humoristlike;0.7789
ilusat materjali;0.7789
ütleksin ilusat;0.7789
sõna otseses;0.7788
ütelda kontsert;0.7786
hüljatuna anekdoote;0.7786
reimann mõtetele;0.7784
tegemisel jäi;0.7783
pealkiri vast;0.7782
elavas ettekandes;0.7781
tantsunumber teema;0.7778
küllari otsal;0.7778
näha kulgeda;0.7777
kahe tegelase;0.7777
halamine jaa;0.7777
kindlasti mõtlen;0.7776
ettekandes tihti;0.7776
meenus eesti;0.7776
teadmata asusin;0.7775
kontserte näiteks;0.7775
pala eraldi;0.7775
esitab eesti;0.7775
tundub paras;0.7775
följetoni test;0.7774
eksami prelüüdi;0.7773
elust tööst;0.7773
klaver nii-öelda;0.7771
teada teadvale;0.777
tants orkistreerisime;0.777
asjalik jutt;0.777
kodu püha;0.7769
palusime autori;0.7769
mäletan viis;0.7768
aega loominguliseks;0.7768
tervikuna vaadata;0.7768
käsile mõista;0.7767
eugen kapi;0.7767
õnnetu oboe;0.7767
lindistasime ajal;0.7767
vastandamine tõsine;0.7767
lahendada harri;0.7766
teoste loomiseks;0.7766
omamoodi öelda;0.7765
võib-olla lähema;0.7764
ülesandeks leida;0.7764
eksamitöö valmimas;0.7763
eraldi mulje;0.7763
tantsu kella;0.7763
oludest leiduma;0.7762
mõtlen suurema;0.7762
realiseerumas takistuseks;0.7762
maksimaalselt kasutanud;0.7762
iseasi anekdooti;0.7762
harri loomingust;0.7761
teemast kuulame;0.7761
vaeseks jääma;0.7761
üldse künteeti;0.776
anekdoodidki toolid;0.776
sattuski näppu;0.7759
muusikute dynamis;0.7758
öelda kolme;0.7757
trioliinuks jäi;0.7757
jäi aega;0.7756
täpselt kirjutasin;0.7756
dile viieosaline;0.7756
kaugemalgi interpreedid;0.7754
tegelikult jälle;0.7754
katki eksamist;0.7754
otsal anekdoodidki;0.7753
näiteks stravinski;0.7753
tunnetamate teadmata;0.7753
jäi näppu;0.7752
son nimelt;0.7752
