keyphrase;score
Touch mahhaali;0.8719
Sõnal värv;0.8507
näiteks Touch;0.8491
mõtlemise mõju;0.8463
õnnestus Tartu;0.8443
luule stroo;0.8443
loodimisel prosaist;0.8427
Sõnal suhe;0.8413
kooligrammatika mõjub;0.841
nägin See;0.8407
Lõpuks Metcati;0.8406
kasuahnus Relvaäri;0.8406
sõnal jõudu;0.8403
sõnad tegelikult;0.8391
kirjutamisalus Ma;0.8386
Tartu linn;0.8377
mõtleb ütleb;0.8355
keele-Aavik Aavik;0.8353
Kristiine keskus;0.8342
No3 käsikiri;0.8317
Kaljo käärid;0.8316
õppetund Muidugi;0.8312
dissageli pilk;0.8309
külluslik lapsepõlv;0.8307
Võnnus tädipojad;0.8306
õnnetu mängisin;0.8306
mänguasju mängisin;0.8286
südametunnistus mõttes;0.8286
jõudu mõjub;0.8285
öeldi Paad;0.8284
sõnad häälega;0.8278
lõpe hästi;0.8278
lapsepõlves öeldi;0.8277
tegelikult kirjutamisalus;0.8277
välimus võib-olla;0.827
ilus eestisügis;0.8269
täiend parasiitsõna;0.8267
lõpus Lihtsalt;0.8262
päev näete;0.8262
tõstmine teatud;0.826
näinud Ma;0.826
tegelikult mõtet;0.8259
ülikoolis ülikoolis;0.8257
sõnal vägi;0.8256
kiirus lühidus;0.825
telesaateid ülemnõukogu;0.8246
mõtlesin täiend;0.8243
üldine energiakadu;0.8242
räägib mõtleb;0.8241
mitmus täielikult;0.824
öeldud lapsepõlves;0.8232
liigub süsteem;0.823
paralleelvormid lühike;0.8223
värv sõnal;0.8215
keele luule;0.8215
sõnad elusolendid;0.8214
nutma dissageli;0.8212
sõnareostus Et;0.8211
hädas tartu;0.8209
ülesanne Eestis;0.8199
Tartu Ülikooli;0.8198
päriselt küsimus;0.8198
majandusteaduslik lihtsalt;0.8197
luule tuse;0.8193
küsimus lause;0.819
ülikondades härrad;0.8179
sõnal emotsioon;0.8177
Lühike mitmus;0.8175
lühike mitmus;0.8175
kipspuupead Ta;0.8167
sõnad sõnad;0.8167
kirjutatakse lihtsalt;0.8164
sünnipäeva eelõhtul;0.8163
Ja arvamusartikkel;0.8163
lõpus nõuanne;0.8162
tähenärimise öeldakse;0.8162
tundub huvitav;0.8161
tasaema töötab;0.816
käib Cesama;0.8159
näpud põhjas;0.8159
Kui mõtlen;0.8157
proosa lastekirjandus;0.8153
vaimses mõttes;0.8152
viimane ülemnõukogu;0.815
lauru loits;0.8149
Nähtavasti antennid;0.8149
võib-olla haritlaskond;0.8148
kirjutab mõtleb;0.8146
valgus valgus;0.8146
kadunud võib-olla;0.8144
peamine lihvimine;0.8139
Aga õnnestunud;0.8136
järjekorras sõnad;0.8134
kujutasin asju;0.8134
Aga tänama;0.8132
ettenägemise võimet;0.8132
reisilaeva Estonia;0.8131
Urmas Alenderi;0.8127
Gerda Laugaste;0.8124
tuhin Ameerikast;0.8122
näe Siis;0.8122
õppetundide halvasti;0.812
romaanid räägivad;0.8119
lisse kiirus;0.8119
tõmbame Lõuna-Eesti;0.8119
sõna värvi;0.8119
emaõpet taia;0.8118
käänded kavad;0.8118
sõna neljasilbiline;0.8117
seegi tähelepanek;0.8117
essid mustades;0.8116
õnnelik Näiteks;0.8116
inimesed rääkisid;0.8116
sõna kordus;0.8115
emotsioon Sõnal;0.8114
Tartu südalinna;0.8114
sõdu See;0.8113
raamatuid nõukogude;0.8113
prosaist luuletaja;0.8113
rahvuslikkuse peod;0.8111
sõnal ettenägemise;0.811
lihtsalt näitab;0.8109
lastekirjandus Tegelikult;0.8106
muusika mõjutab;0.8102
haritlaskond muutunud;0.8102
küsida tegelikult;0.81
Siin jällegi;0.8099
tundub kooligrammatika;0.8099
Peep Sarapik;0.8098
sõna- päriselt;0.8097
näiteks Prillitoos;0.8095
ülemised tahavad;0.8094
luule kultuuriessents;0.8094
hästi kasu;0.8094
laulutuld püha;0.8091
vanainimesed räägivad;0.8086
proosateostes kompositsioon;0.8086
luule anud;0.8083
Alex asja;0.8083
silbid jõudu;0.8082
rajoonileht luule;0.8081
Jah võõrkeeltes;0.808
põhjas haritud;0.808
väge Mulle;0.8076
tänada loomulik;0.8076
lause täiend;0.8076
vajavad täiskasvanu;0.8076
kavatseb võimu;0.8076
Tartu linnas;0.8072
moes Tessita;0.8072
öeldakse Me;0.8071
ükskord no;0.8069
tunud Tegelikult;0.8069
arusaamise võimalik;0.8068
paljud jälle;0.8066
näpud puhtad;0.8066
täide täide;0.8066
juured sügaval;0.8065
nõukogude aeg;0.8064
palga tõstmine;0.806
ajas Võib-olla;0.8059
mitmuses no;0.8057
oska öelda;0.8056
natuke õnnetu;0.8056
ühesõnaga igapäevaelu;0.8054
luuletustes sõna;0.8054
veenda võimalik;0.8053
luule kultuuriliik;0.8053
postkasti etta;0.8051
sõna Milagoole;0.805
töö teletöö;0.805
võimalik leppida;0.8048
sõna juurdikati;0.8047
hädas tean;0.8046
ajal tänavu;0.8045
Ma lugesin;0.8044
romaanid naist;0.8044
kauge luule;0.8043
tähendusi võib-olla;0.8041
luule proosa;0.8041
telli toitlustame;0.8041
horisontaalne vesi;0.8039
grammatika ilusam;0.8039
öelda õnnetu;0.8038
nägid hullu;0.8036
väge pöördutud;0.8035
jõud Aga;0.8034
sõnade järjekorda;0.8034
mõtlen natuke;0.8034
lõpeb hästi;0.8032
Oi õudsem;0.8029
juured võib-olla;0.8029
ajal üldse;0.8029
tea võib-olla;0.8028
Kas sõnad;0.8026
sõit lingis;0.8026
tus tegelikult;0.8026
lühidus Aga;0.8019
kirjuta eluloost;0.8019
tundub sõna;0.8018
