EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,7,6,4,5,6,5,8,5,15,talv; raamat; mälestus; tegevus; ants; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
4,7,6,4,5,6,5,8,5,15,talv; raamat; mälestus; tegevus; ants; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
4,7,6,4,5,6,5,8,5,15,talv; raamat; mälestus; tegevus; ants; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
4,7,6,4,5,6,5,8,5,15,talv; raamat; mälestus; tegevus; ants; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
4,7,6,4,5,6,6,8,5,15,talv; raamat; mälestus; tegevus; ants; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
3,7,6,4,5,8,9,7,5,15,talv; raamat; tegevus; mälestus; ants; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
5,6,6,6,5,7,6,8,5,15,talv; ants; raamat; tegevus; mälestus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
7,7,7,8,4,6,8,8,5,15,talv; raamat; ants; mälestus; tegevus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
7,8,8,6,7,7,6,8,5,15,talv; raamat; mälestus; ants; tegevus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
5,8,8,4,6,6,8,8,5,15,talv; raamat; ants; mälestus; tegevus; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
7,5,9,6,5,7,6,11,5,15,talv; raamat; tegevus; mälestus; ants; ilmar; põgenema; töö; naine; teaduslik; soome; viires; haige; etnoloog
