EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,10,5,6,3,7,8,9,8,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; põlendik; kadri
10,10,5,6,3,7,8,9,8,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; põlendik; kadri
10,10,5,6,3,7,8,9,8,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; põlendik; kadri
10,10,5,6,3,7,8,9,8,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; põlendik; kadri
10,10,5,6,3,7,8,9,8,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; põlendik; kadri
10,10,5,6,3,7,8,9,8,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; põlendik; kadri
10,10,5,6,3,7,8,9,8,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; põlendik; kadri
10,10,5,6,3,7,8,9,8,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; põlendik; kadri
10,10,5,6,3,7,8,9,8,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; põlendik; kadri
10,10,5,6,3,7,8,9,8,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; põlendik; kadri
10,10,5,6,3,7,8,9,8,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; põlendik; kadri
