EstBERT;est-roberta;LaBSE;bertMulti;distilbertMulti;MiniLM-L12_multi;multi_e5;xml_roberta
jutt;kuskile;proovid;kordusi;varem;käinud;käin;jõudsime
laululavalt;uuesti;esimesed;kooli;vähe;repertuaar;repertuaari;Ja
kõikul;Nagu;noori;Laulumeeste;iiliti;vana;nooruslikkust;No
koolipoisist;See;jõudsime;lastekoori;ahastuses;repertuaari;kooriga;tundub
kordusi;Ulvi;lastekoori;laulupidu;oodata;mõtled;aastatel;
Laulumeeste;asi;lastekoor;olemegi;vähener;ootate;käia;Kaua
varem;noored;Vanasti;kasvavad;repertuaar;kuigivõrd;lastekoori;nooruslikkust
tunni;aastat;korda;mäletan;tundsin;nii-öelda;Milliseid;visata
read;meespolügoon;olemegi;laululavalt;üldse;kuulata;kahjuks;pidu
mäletan;read;uuesti;kujutagi;olemegi;tähendab;kaariste;varasemast
Jah;Tere;põhikooli;lihtsalt;uuesti;asi;mäletan;jätkate
repertuaari;selged;ajast;lastekoor;hästi;kujutagi;kuuekümnendatel;meeste
laulupidudest;lastekoori;Laulumeeste;proovid;mõistetav;antakse;varasemast;kool
tegutsenud;lihvimiseks;ühislaulmised;jäeti;ühine;eestlased;olemegi;Jah
Vanade;laulupeoni;aega;uuesti;vihma;pidu;mõnus;asi
jalad;kindlasti;tuhinik;jõudsime;ülikond;kaovad;hästi;ajast
vanad;Kaua;võimalused;ükskord;proovid;rahvas;kooli;ükskord
Mina;tunni;Vanade;varem;uusi;kool;rahvuslikust;lihvimiseks
saatjaks;Milliseid;ühine;nii-öelda;ootate;tunni;eestlased;Te
võetud;kõvasti;Laulupidu;ahastuses;kooriga;kõikul;aastat;no
käinud;kuuekümnendatel;vananevad;tegutsenud;kujutagi;Kaua;pealtvaatajana;laule
pruukida;ootate;rahvuslikust;laulud;lastekoor;käin;tundub;aasta
lapsed;veab;varem;traditsioon;meeskoorile;tundsin;oodata;koori
mõtled;ajast;kannavad;tundsin;jalad;tegelikult;tegelikult;Nagu
jätkate;ükskord;vanaks;valikkoorid;leian;Ja;Nagu;mäletan
Nad;võetud;ükskord;kahjuks;üllatusi;varem;üldse;vähener
laulupeolt;saatja;koori;veab;enam-vähem;tundub;Vanasti;kõvasti
rahvuslikust;laululavalt;rõõmud;ajast;litsist;tahan;proovi;mõtled
kasvavad;Jah;Milliseid;tõeline;kuuekümnendatel;huvitaksid;jätta;traditsioon
See;ühendproov;60;ühine;kenasti;põhikooli;püüame;meeskooris
meeskoorile;tegelikult;traditsioon;visata;pruukida;käia;pärit;käinud
kool;noori;uusi;kogeda;laulu;Nüüd;sammu;laulupidudest
laulukaare;tahavad;proovite;hingele;mäletan;ootan;vihma;rahvuslikust
pidu;pärit;päeva;leian;vana;mälestusi;aastad;kordusi
hästi;läbimärjaks;püüame;ootate;vanaks;lihvimiseks;kõikul;Mis
vanaks;kenasti;võetud;kaovad;varasemast;aega;ükskord;lapsed
vanadega;laulukaare;kool;tunni;aasta;Ei;võetud;Laulupidu
100;mõistetav;osalejana;varasemast;proovite;tunneb;meespolügoon;tunni
Nüüd;mäletan;kuulata;oodata;sammu;lihtsalt;esimesed;kogeda
lastekoori;tähendab;ühendproov;tunne;kuulata;kannavad;ühendproov;aastatel
osalejana;tundsin;meespolügoon;annab;ajast;Mina;ühine;laulupidu
kooriga;tundub;dirigentidelt;mälestusi;kool;pärit;tähendab;tunnet
Vanasti;hästi;antakse;laulupidudest;meeldivaid;ühislaulmised;proovite;annab
koori;varem;lapsed;vana;tunni;päeva;päeva;kooriga
niiviisi;niiviisi;kooriga;mõistetav;võetud;saatjaks;kool;laulupeol
kooli;kaovad;jutt;Nagu;ootan;ükskord;kõvasti;kolm
ahastuses;leian;tähendab;näha;esimesed;sammu;rõõmud;laulud
üksikuid;kolm;mõtled;rahvuslikust;aastat;Aga;traditsioon;tuhinik
12;annab;visata;repertuaar;saatjaks;kordusi;vanadega;osalete
hingele;tahan;nooruslikkust;põhikooli;koori;Räpinas;valikkoorid;repertuaar
kujutagi;kuigivõrd;käinud;uusi;nüansse;oodata;aega;võimalused
14;ühine;Nüüd;kuigivõrd;tundub;osalete;kindlasti;tegutsenud
Mida;laulupeolt;tundub;hästi;tunneb;kogeda;kasvavad;mälestusi
sammu;sammu;vähe;noored;kahjuks;mõnus;pruukida;mõnus
Paikuse;laulate;tunnet;vähe;No;;lapsed;leian
Nagu;ahastuses;nüansse;kõikul;On;näha;mõtled;saatjaks
repertuaar;laulu;tunne;iiliti;ilusat;saatja;kogeda;korda
Kuidas;pruukida;meeste;kenasti;Nüüd;jäeti;aasta;kasvavad
vananevad;iiliti;tundsin;vanad;niiviisi;Jah;proovid;näha
aasta;koori;enam-vähem;laule;Võib-olla;jätta;kaovad;Milliseid
pealtvaatajana;vähener;eestlased;osalejana;jätta;Nad;lihtsalt;kannavad
ühendproov;lapsed;võib-olla;Võib-olla;meeskooris;meeste;üllatusi;60
meeskooris;tea;Räpinas;kõvasti;jutt;Mida;põhikooli;proovi
kolm;tuhinik;tegelikult;tuhinik;Aga;osalejana;Võib-olla;Nüüd
nüansse;laule;proovi;Laulupidu;jõudsime;Mis;kuulata;ootan
tahavad;laulda;hästi;proovi;Nad;tahavad;Mida;niiviisi
Mis;meeskoorile;tõeline;jutt;varasematest;algasid;tahavad;jutt
tunne;laulupeol;tunneb;kindlasti;läbimärjaks;Nagu;kolm;Ei
meeste;aastad;jalad;võib-olla;nooruslikkust;Tere;tegutsenud;käin
Ulvi;repertuaari;jäeti;käin;laulud;kenasti;enam-vähem;Laulumeeste
aastat;enam-vähem;mõistetav;osalete;lastekoori;laule;kujutagi;rõõmud
kõvasti;laulupidudest;kõikul;no;tegutsenud;hästi;tunne;päeva
laule;ülikond;üldse;päeva;100;annab;läbimärjaks;laulu
60;rõõmud;kao;esimesed;laulda;Kuidas;saatjaks;varasematest
Tere;rahvuslikust;saatja;aega;ühislaulmised;Paikuse;jäeti;Aga
aastad;valikkoorid;Kas;üksikuid;laulukaare;võetud;ootan;laulupeoni
laulate;dirigentidelt;100;jätkate;laulupidu;no;vana;litsist
tahan;Võib-olla;Jah;vanaks;pärit;Kas;tundsin;ülikond
kaovad;pidu;kaariste;püüame;mälestusi;meeskooris;uusi;kooli
vihma;eestlased;käia;tunnet;kaariste;kuskile;ülikond;kindlasti
läbimärjaks;jutt;kell;käia;osalete;jätkate;jalad;esimesed
osalete;pealtvaatajana;kuskile;Tere;repertuaari;meeldivaid;ilusat;tunne
noored;kao;Ulvi;ootan;taati;laulate;korda;uusi
Ja;kuulata;meeldivaid;vihma;Milliseid;mõistetav;vaja;kaovad
näha;saatjaks;jätta;antakse;kuigivõrd;No;noori;meeskoorile
uusi;osalejana;jätkate;laulate;rahvas;vaja;taati;Mina
aega;üllatusi;osalete;Kas;ükskord;pruukida;võib-olla;tahavad
kuskile;nooruslikkust;veab;kolm;laulupeol;lastekoor;ootate;jäeti
On;vihma;no;noori;lihvimiseks;üllatusi;vähe;vananevad
Te;ootan;Kuidas;pärit;jätkate;selged;vähener;kõikul
iiliti;vanaks;sammu;algasid;vanadega;kahjuks;üksikuid;iiliti
mälestusi;kooriga;tore;mõnus;kuskile;enam-vähem;meeldivaid;Paikuse
olemegi;kordusi;oodata;Ulvi;hääl;uusi;tõeline;repertuaari
tore;tunne;ilusat;Mida;kogeda;proovid;tunni;pärit
proovid;laulmist;leian;hääl;tuhinik;tegutsenud;kannavad;proovid
vaja;taati;asi;Räpinas;traditsioon;tahtmine;saatja;tea
kenasti;Laulupidu;algasid;rahvas;käin;tore;vanaks;vanadega
kao;aega;kenasti;tahtmine;kõvasti;rõõmud;lihvimiseks;kao
laulupeoni;nüansse;annab;kuulata;püüame;meespolügoon;võimalused;sammu
rahvas;rahvas;Ja;korda;meespolügoon;Milliseid;Vanade;lastekoori
kannavad;tunnet;Võib-olla;Milliseid;tõeline;rahvuslikust;tunnet;üllatusi
vana;kõikul;vähener;selged;laulupeolt;laulda;ahastuses;tahan
tegelikult;käin;ülikond;vaja;vananevad;tunnet;iiliti;oodata
ajast;kooli;mõnus;100;huvitaksid;kaariste;huvitaksid;Nad
lihvimiseks;võib-olla;kaasa;jalad;lihtsalt;leian;tahtmine;aega
eestlased;käia;kasvavad;pidu;dirigentidelt;uuesti;dirigentidelt;pealtvaatajana
proovite;osalete;nii-öelda;Kuidas;üksikuid;kell;kell;ühislaulmised
aastatel;vähe;valikkoorid;koori;kooli;ühine;ajast;tunneb
ühine;kujutagi;14;tundub;pidu;meeskoorile;vanad;aastad
vähe;päeva;selged;Vanasti;käia;korda;laulate;käia
Milliseid;oodata;tahan;võetud;Ja;taati;kuigivõrd;lastekoor
Aga;huvitaksid;kaovad;käinud;laululavalt;proovi;Kaua;mõistetav
hääl;jõudsime;vaja;kannavad;mõnus;kasvavad;selged;antakse
antakse;hääl;niiviisi;Te;päeva;proovite;Ulvi;algasid
tunnet;litsist;pealtvaatajana;Paikuse;pealtvaatajana;vähe;tunneb;tõeline
päeva;kaariste;Nagu;sammu;laulupeoni;kõvasti;Ei;tore
nooruslikkust;nii-öelda;kindlasti;laulu;kordusi;14;annab;kenasti
laulda;kaasa;lihtsalt;Ei;näha;lastekoori;mõistetav;noored
jätta;proovite;kahjuks;laulda;osalejana;võib-olla;Tere;laulukaare
visata;jätkate;hingele;kell;tahan;litsist;veab;Kas
saatja;vanadega;näha;aastatel;rahvuslikust;ilusat;antakse;Räpinas
tundsin;vananevad;üllatusi;taati;Laulumeeste;tunne;meeste;Vanade
noori;On;kogeda;meeste;valikkoorid;Laulumeeste;Kas;proovite
kaasa;kogeda;No;rõõmud;Te;ülikond;algasid;veab
käia;Ja;iiliti;aasta;aastad;On;kordusi;meespolügoon
pärit;tegutsenud;Mis;kool;laulupidudest;pealtvaatajana;kao;ilusat
No;võimalused;kuigivõrd;12;mõtled;60;Aga;vana
no;no;read;Ja;ühendproov;veab;asi;laululavalt
selged;üldse;tea;jätta;koolipoisist;nüansse;repertuaar;osalejana
ilusat;Paikuse;ootan;14;Mis;Võib-olla;Mina;laulda
taati;traditsioon;Aga;eestlased;käinud;esimesed;Mis;ühendproov
ootate;aastatel;Paikuse;võimalused;jäeti;kindlasti;varem;kaasa
dirigentidelt;Vanade;12;Kaua;Vanade;vähener;;jalad
ootan;Ei;Mida;Nüüd;tahavad;12;Ja;saatja
annab;algasid;ahastuses;aastat;aastatel;ahastuses;Nad;dirigentidelt
uuesti;kahjuks;litsist;See;algasid;ühendproov;jutt;ootate
kell;püüame;käin;aastad;rõõmud;Te;Jah;tahtmine
tunneb;Laulumeeste;Ei;tahavad;14;jutt;hingele;Ulvi
käin;korda;lihvimiseks;Jah;Kuidas;See;tuhinik;hääl
leian;üksikuid;Te;Mina;põhikooli;visata;litsist;pruukida
kindlasti;12;taati;Aga;kasvavad;hingele;Te;hingele
Kas;kannavad;tahavad;tahan;Kas;tõeline;kenasti;kujutagi
kuulata;käinud;saatjaks;Vanade;noori;Ulvi;12;nüansse
Kaua;lihtsalt;kõvasti;60;Ulvi;võimalused;14;meeldivaid
korda;visata;Nad;tea;Laulupidu;üksikuid;tahan;vanad
proovi;100;pruukida;kaasa;60;läbimärjaks;60;laulupeolt
varasematest;Nüüd;Tere;asi;Tere;dirigentidelt;leian;üksikuid
varasemast;mälestusi;kolm;lapsed;12;iiliti;See;laulate
algasid;näha;huvitaksid;kao;Räpinas;kolm;tore;võetud
litsist;jätta;Mina;;eestlased;valikkoorid;100;vanaks
tea;mõnus;On;tore;Paikuse;read;On;Vanasti
Ei;varasemast;ootate;On;Jah;Laulupidu;read;kuigivõrd
laulmist;esimesed;kujutagi;No;Vanasti;100;visata;ahastuses
esimesed;jäeti;tahtmine;Mis;Mida;jalad;nüansse;laulmist
meeldivaid;varasematest;läbimärjaks;kooriga;Nagu;tuhinik;No;selged
kogeda;60;Kaua;read;Kaua;tea;tea;Võib-olla
oodata;antakse;See;Nad;Mina;vihma;no;tähendab
