EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,4,5,1,4,7,2,2,10,ameerika; jutlus; kanada; jumal; kuulaja; altar; tempel; õnnistus; laulma
3,4,4,5,1,4,7,2,2,10,ameerika; jutlus; kanada; jumal; kuulaja; altar; tempel; õnnistus; laulma
3,4,4,5,1,4,7,2,2,10,ameerika; jutlus; kanada; jumal; kuulaja; altar; tempel; õnnistus; laulma
3,4,4,5,1,4,7,2,2,10,ameerika; jutlus; kanada; jumal; kuulaja; altar; tempel; õnnistus; laulma
3,4,4,5,1,4,7,2,2,10,ameerika; jutlus; kanada; jumal; kuulaja; altar; tempel; õnnistus; laulma
3,4,4,5,1,4,7,2,2,10,ameerika; jutlus; kanada; jumal; kuulaja; altar; tempel; õnnistus; laulma
3,4,4,5,1,4,7,2,2,10,ameerika; jutlus; kanada; jumal; kuulaja; altar; tempel; õnnistus; laulma
3,4,4,5,1,4,7,2,2,10,ameerika; jutlus; kanada; jumal; kuulaja; altar; tempel; õnnistus; laulma
3,4,4,5,1,4,7,2,2,10,ameerika; jutlus; kanada; jumal; kuulaja; altar; tempel; õnnistus; laulma
3,4,4,5,1,4,7,2,2,10,ameerika; jutlus; kanada; jumal; kuulaja; altar; tempel; õnnistus; laulma
3,4,4,5,1,4,7,2,2,10,ameerika; jutlus; kanada; jumal; kuulaja; altar; tempel; õnnistus; laulma
